PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.37604650436026615,-0.2033941605056679,-0.3524748721301528,-0.6539067347084166,0.7954320504125308
0BVvxJ6a,0.10253164587753703,-0.14532849722466826,0.1917812444956571,-0.054312971673601156,-0.6345528673442534
0KbdgApg,0.2102230737639608,-0.19851571928986567,0.0326242023447477,0.04980189597633718,-0.3796320025880494
0MnuuduB,-0.029594599653959087,0.14999629465270403,-0.11430808549716319,1.2099933576297597,-1.0802282659503015
0PcIsF9z,-0.43121594850893175,-0.16387913555838396,-0.8549340066396673,0.02948214369903642,0.442949262486932
0ShTFLYJ,-0.32211245272155764,-0.2142975685349043,0.5164755889094423,-0.5744440661293893,0.8825062272046658
0XZh9jka,0.4090428398611963,0.18609139030574604,-0.8911225501972053,1.5144658497564232,-0.5210569146976509
0Y7Wegri,-0.25971564444287093,0.833296666413784,0.7585722109267798,-0.3353732909960094,0.08326213031246521
0dTqplIM,0.10093687208680657,-0.22571822535676817,0.06915717578720991,0.3729122353189929,-0.8357590723199958
0lNiZicC,-0.23586263905516497,-0.2829043018053884,0.6548595350457944,-0.6460923508649498,-0.033985382421997154
0rGeJ0QN,-0.39378601482398173,0.18836822963072133,-0.1269623583358136,-0.39129286637545685,0.6161241641875417
0sXI9ytQ,-0.40805922851868354,-0.07448784293239187,0.32321578065320083,-0.7206343118340373,1.5413468844486935
0ukt4aP6,0.09362948918697572,-0.048401366894543954,0.784916158072899,-0.49938843028837127,-0.6758559330820003
1AGspb8f,-0.20268058156358051,-0.2589031228012924,-0.3071835716220272,0.149541370963695,-0.5254445974307008
1Csy0gvE,-0.4335676894787066,-0.22938622424090988,-0.07880320827560756,-0.5521671152475228,0.6835919731831506
1Ic2hly1,-0.35726947343555615,0.16138466650076905,-0.3546880011603072,-0.22265033228964767,0.52250495926092
1PPbaTwt,-0.26244322586874325,-0.27621664789142797,-0.3326187621729689,-0.4832307303316212,0.05125779676384482
1SO5VJNy,-0.4257549715501505,-0.13030367493190542,-0.17887402235897795,-0.5627003975741234,0.7832187619198878
1arHxK3Y,0.4381687927004039,-0.007980547596632788,1.4967848932720398,0.31979846560074987,-0.20639946003977108
1fCW4Bba,-0.1394768544149358,0.029927657280755738,0.3636553598222988,-0.2996350763718787,0.2086543643170556
1qDZNvIm,-0.4231771597012115,-0.15586798606825775,-0.23143942994789285,-0.6703239654442241,0.9291333491043254
28LYJC2V,-0.4017880897925546,-0.1702195703093612,-0.8084999776525025,0.2898964869099497,-0.46545591212170256
2CzACvQq,0.1877062110596024,1.635709406471828,1.6716749813507403,1.1321047901713952,-0.6518950402494685
2FT3crfv,0.03304755791044316,-0.14114814476549942,0.10556679562358441,0.1454149733206149,-0.5854184942183579
2Fy2uHVg,-0.3840454032830607,-0.26271622696304275,-0.6443647823500471,-0.4247086308578518,-0.15453690452974783
2MkMEApm,-0.35622461511258313,-0.024062623215299294,0.22223520413765563,-0.624496913051485,0.8786224511979209
2NDGWEOe,0.39601075673270414,0.7830060284806883,1.1010963425817883,-0.3844610961756053,-0.5393843520859886
2NyyCiqn,-0.4408779953392945,-0.19737484216509088,-0.20085240907238905,-0.5553615793630712,0.6836809613624502
2QRzIb84,-0.0009549927012265997,0.7902825322172974,1.6935505472129821,-0.4128059101052035,0.06026402490974975
2QcbdrUZ,-0.30707945616882665,-0.0062661527190879494,0.07190269784002554,-0.49556670280930537,0.4105561681906359
2YgAimWK,-0.34290103328901655,-0.17091740124013566,0.4003564098623862,-0.4765357346800949,0.41367594781803546
2cx85d9H,0.019454167368199743,-0.23432415270599818,0.00240269686736576,0.10049443058632956,-0.42643499773942944
2homMXMV,-0.38771069431765853,-0.070012964613565,-0.5640548676273527,-0.2904135546651855,0.46132552752993916
2ldLrUtq,-0.28406697945186254,-0.18258445888883013,0.014475323009081451,-0.24281247599440456,-0.5204514960085769
2nsACW6G,-0.33613610552738693,0.04922263462078462,-0.8881140517597411,1.4433574638398259,-0.860959303471384
